key_DO_NOT_MODIFY;fr;en;es;ab;cn;ru;am;bg;br;cz;de;et;fa;fi;hb;it;jp;ko;mg;nl;pl;ro;sb;sk;sl;sw;uk
DefaultDirectory;Répertoire par défaut;Default directory;Directorio por defecto;الدليل الافتراضي;默认文件路径;Каталог по умолчанию;Կանխադրված գրացուցակ;Директория по подразбиране;Diretório padrão;Výchozí adresář;Standardverzeichnis;Vaikimisi kataloog;مسیر پیش فرض;Oletushakemisto;ספריית ברירת מחדל;Directory predefinita;デフォルトのディレクトリ;기본 디렉토리;Alapértelmezett könyvtár;Standaardmap;Katalog domyślny;Director implicit;Подразумевани директоријум;Predvolený priečinok;Privzeti imenik;Standardkatalog;Каталог за замовчуванням
SaveOptions;Options de sauvegarde;Save options;Opciones de guardado;حفظ الخيارات;保存选项;Параметры сохранения;Պահպանեք ընտրանքները;Настройки за запазване;Opções de backup;Uložit možnosti;Speicheroptionen;Salvesta valikud;ذخیره گزینه ها;Tallenna asetukset;שמור אפשרויות;Opzioni di backup;保存オプション;저장 옵션;Opciók mentése;Opties opslaan;Zapisz opcje;Opțiuni de salvare;Сачувај опције;Možnosti uloženia;Možnosti shranjevanja;Spara alternativ;Параметри збереження
ChangeSaved;Changement enregistré;Change saved;Cambio guardado;تم حفظ التغيير;更改已保存;Изменить сохраненное;Փոփոխությունը պահված է;Промените са запазени;Alteração salva;Změna uložena;Änderung gespeichert;Muuda salvestatud;ذخیره تغییرات;Muuta tallennettua;השינוי נשמר;Modifica salvata;変更が保存されました;변경사항 저장됨;Mentett adatok módosítása;Wijziging opgeslagen;Zmień zapisane;Modificare salvată;Промена је сачувана;Zmena uložená;Spremeni shranjene;Ändra sparade;Зміни збережено
Duplicate;Dupliquer;Duplicate;Duplicar;ينسخ;复制;Дублировать;Կրկնօրինակեք;Дублирай ;Duplicar;duplikovat;Duplizieren;Duplitseeri;تکرار;Tee kopio / Tee kaksoiskappale;לְשַׁכְפֵּל;Duplica;複製;복제;Duplikátum;Dupliceren;Duplikat;Duplicare;Дупликат;Duplikovať;Podvojitev;Duplicera;Дублікат
YYYY;AAAA;YYYY;AAAA;YYYY;YYYY;ГГГГ;YYYY;ГГГГ;AAAA;YYYY;JJJJ;YYYY;YYYY (سال);YYYY;YYYY;AAAA;YYYY;YYYY;YYYY;JJJJ;YYYY;AAAA;ИИИИ;RRRR;YYYY;YYYYYY;YYYY
MM;MM;MM;MM;مم;MM;MM;ՄՄ;ММ;MM;MM;MM;MM;MM (ماه);MM;MM;MM;MM;MM;MM;MM;MM;LL;ММ;MM;MM;MM;ММ
DD;JJ;DD;DD;DD;DD;ДД;DD;ДД;DD;DD;TT;DD;DD (روز);DD;DD;GG;DD;DD;DD;DD;DD;ZZ;ДД;DD;DD;DD;ДД
hh;hh;hh;hh;ح ح;hh;чч;հհ;чч;hh;hh;hh;hh;hh (ساعت);hh;hh;hh;hh;hh;hh;hh;hh;hh;ХХ;hh;hh;hh;чч
mm;mm;mm;mm;مم;mm;мм;մմ;мм;mm;mm;mm;mm;mm (دقیقه);mm;mm;mm;mm;mm;mm;mm;mm;mm;мм;mm;mm;mm;мм
ss;ss;ss;ss;ss;ss;сс;ss;сс;ss;ss;ss;ss;ss (ثانیه);ss;ss;ss;ss;ss;ss;ss;ss;ss;сс;ss;ss;ss;сс
HydrauConf;Configuration hydraulique;Hydraulic Configuration;Configuración hidráulica;التكوين الهيدروليكي;水力参数配置;Конфигурация гидравлики;Հիդրավլիկ կոնֆիգուրացիա;Хидравлична конфигурация;Configuração hidráulica;Hydraulická konfigurace;Hydraulische Konfiguration;Hüdrauliline konfiguratsioon;پیکربندی هیدرولیک;Hydraulinen konfiguraatio;תצורה הידראולית;Configurazione idraulica;水理学的条件;수리 조건;Hidraulikus konfiguráció;Hydraulische configuratie;Konfiguracja hydrauliczna;Configurație hidraulică;Хидраулична конфигурација;Hydraulická konfigurácia;Hidravlične nastavitve;Hydraulisk konfiguration;Гідравлічна конфігурація
Gaugings;Jaugeages;Gaugings;Aforos;مقاييس;水位流量测量;Датчики;Չափիչներ;Измервания;Vazão;Měření;Messungen;Mõõtmised;اندازه گیری (ایستگاهها);Mittaukset;מדידות;Misure di portata;Gaugings (水位・流量データ);관측;Mérések;Metingen;Pomiary;Măsurători directe;Гаугингс;Merania;Meritve;Mätvärden;Вимірювання
RemnantError;Erreur restante;Remnant Error;Error remanente;خطأ متبقي;残留错误;Остаточная погрешность;Մնացորդային սխալ;Остатъчна грешка;Erro remanescente;Chyba zbytku;Verbleibender Fehler;Ülejäänud viga;خطای باقی مانده;Jäännösvirhe;שגיאת שארית;Errore rimanente;残差;잔여 오류;Maradék hiba;Resterende fout;Błąd resztkowy;Eroare remanentă;Ремнант Еррор;Zostávajúca chyba;Preostala napaka;Återstående fel;Залишкова похибка
RatingCurve;Courbe de tarage;Rating Curve;Curva de gasto;منحنى التصنيف;水位流量曲线;Калибровочная кривая;Վարկանիշի կորը;Ключова крива;Curva Chave;Měrná křivka;Abflusskurve;Hinnangu kõver;منحنی سنجه;Purkautumiskäyrä;עקומת דירוג;Scala di deflusso;水位流量曲線;수위유량곡선;Vízhozamgörbe;Classificatiecurve;Krzywa przepływu;Cheie limnimetrică;Крива рејтинга;Merná krivka;Pretočna krivulja;Kurva för värdering;Номінальна крива
RC;CT;RC;CG;RC;水位流量曲线;КК;RC;КК;CC;RC;AK;RC;RC (منحنی سنجه);RC;RC;SdD;HQ線;RC;VG;RC;KP;CL;РЦ;MK;RC;RC;RC
Limnigraph;Limnigramme;Stage series;Limnigrama;سلسلة المرحلة;水位过程图;Лимниграмма;Բեմական շարք;Серия водни стоежи;Hidrograma;Limnigraf;Wasserstandsganglinie;Etappide seeria;سری اشل;Vedenkorkeussarja;גרף רום;Serie di livello idrometrico;水位ハイドログラフ;수위 계열;Vízállások sora;Fase series;Hydrogram stanu wody;Hidrograf de niveluri;Сценска серија;Vodné stavy;Nivogram;Stegserie;Серія ступенів
Hydrograph;Hydrogramme;Flow series;Hidrograma;سلسلة التدفق;流量过程图;Серия расхода (гидрограмма);Հոսքի շարք;Серия водни количества;Hidrógrafa;Hydrograf;Abflussganglinie;Vooluseeria;سری جریان;Virtaamasarja;הידרוגרף;Idrogramma;流量ハイドログラフ;유량 계열;Vízhozamok sora;Stroom series;Hydrogram przepływu;Hidrograf de debite;Серија протока;Prietoky;Hidrogram;Flödesserie;Серія Flow
Catalogues;Catalogues;Catalogues;Catálogos;كتالوجات;目录;Каталоги;Կատալոգներ;Каталози;Catálogos;Katalogy;Kataloge;Kataloogid;کاتالوگ ها;Katalogit;קטלוגים;Cataloghi;カタログ;카탈로그;Katalógusok;Catalogi;Katalogi;Cataloage;Каталози;Katalógy;Katalogi;Kataloger;Каталоги
Segment;Segment;Segment;Segmento;قطعة;部分;Сегмент;Հատված;Сегмент;Segmento;Segment;Segment;Segment;بخش (قطاع);Segmentti;מִגזָר;Segmento;セグメント;구간;Szegmensek;Segment;Segment;Segment;Сегмент;Segment;Območje;Segment;Сегмент
Control;Contrôle;Control;Control;مراقبة;基准点;Управление;Վերահսկողություն;Контрола;Controle;Kontrola;Kontrolle;Juhtimine;کنترل;Kontrolli /Kynnys;לִשְׁלוֹט;Controllo;コントロール;제어;Vezérlés;Besturing;Kontrola;Control;Контрола;Ovládanie;Kontrola;Kontroll;Регулювання
Ncontrol;Nombre de contrôles;Number of controls;Número de controles;عدد الضوابط;基准点数;Количество элементов управления;Վերահսկողության քանակը;Брой на контролите;Número de controles;Počet kontrol;Anzahl der Kontrollen;Kontrollide arv;تعداد کنترل ها;Kontrollien /kynnysten lukumäärä;מספר פקדים;Numero di controlli;水位流量曲線の分割数 (コントロール数);통제의 수;Vezérlők száma;Aantal controles;Liczba elementów kontrolnych;Număr de controale;Број контрола;Počet ovládacích prvkov;Število kontrol;Antal kontroller;Кількість регуляторів
Type;Type;Type;Tipo;يكتب;类型;Тип;Տիպ;Тип;Tipo;Typ;Typ;Tüüp;تایپ کردن;Tyyppi;סוּג;Tipo;種類;유형;Típus;Type;Typ;Tip;Тип;Typ;Vrsta;Typ;Тип
apar;a (coefficient);a (coefficient);a (coeficiente);أ (معامل);a（参数）;a (коэффициент);ա (գործակից);a (коефициент);a (coeficiente);a (koeficient);a (Koeffizient);a (koefitsient);a (ضریب);a (kerroin);a (מקדם);a (coefficiente);a (係数);a (계수);a (együttható);a (coëfficiënt);a (współczynnik);a (coeficient);а (коефицијент);a (koeficient);a (koeficient);a (koefficient);a (коефіцієнт)
cpar;c (exposant);c (exponent);c (exponente);ج (الأس);c（指数）;c (степень);գ (ցուցանիշ);c (експонента);c (expoente);c (exponent);c (Exponent);c (eksponent);c (توان);c (eksponentti);c (מעריך);c (esponente);c (べき指数);c (지수);c (exponens);c (exponent);c (wykładnik);c (exponent);ц (експонент);c (exponent);c (stopnja potence);c (exponent);c (показник степеня)
kpar;k (hauteur d'activation);k (activation stage);k (altura de activación);ك (مرحلة التنشيط);k（激活水位）;k (ступень активации);k (ակտիվացման փուլ);k (стоеж на активация);k (nível de ativação);k (aktivační fáze);k (Aktivierungshöhe);k (aktiveerimisaste);k (اشل فعال سازی);k (aktivointivaihe);k (שלב הפעלה);k (altezza di attivazione);k (有効となる最小水位);k (활성화 단계);k (aktiválási fokozat);k (activeringsfase);k (stopień aktywacji);k (nivel de activare);к (фаза активације);k (aktivačný stupeň);? k (začetni vodostaj);k (aktiveringssteg);k (ступінь активації)
bpar;b (offset);b (offset);b (offset);ب (تعويض);b（偏移值）;b (смещение);բ (օֆսեթ);b (отместване);b (offset);b (offset);b (offset);b (nihke);  b (آفست یا انحراف);b (offset);b (היסט);b (offset);b (オフセット);b (오프셋);b (eltolás);b (offset);b (przesunięcie);b (decalaj);б (оффсет);b (posun);b (odmik);b (förskjutning);b (зсув)
+/-;± (incertitude élargie);± (uncertainty);± (incertidumbre ampliada);± (عدم اليقين);±（误差）;± (неопределенность);± (անորոշություն);± (неопределеност);± (incerteza expandida);± (nejistota);± (Unsicherheit);± (määramatus);± (عدم قطعیت);± (epävarmuus);± (אי ודאות);± (incertezza estesa);± (不確かさ);± (불확도);± (bizonytalanság);± (onzekerheid);± (niepewność);± (incertitudine);± (неизвесност);± (neistota);± (negotovost);± (osäkerhet);± (невизначеність)
+/-_long;Incertitude élargie : demi-longueur d'un intervalle à 95% = 1.96*écart-type pour une distribution gaussienne;Uncertainty expressed as the half-width of a 95% interval = 1.96*standard deviation for a gaussian distribution;Incertidumbre ampliada: l;يتم التعبير عن عدم اليقين بنصف عرض فاصل زمني 95٪ = 1.96 * الانحراف المعياري لتوزيع غاوسي;误差由95%置信区间一半计算=1.96*高斯分布的方差;Неопределенность выражается как полуширина 95% интервала = 1,96*стандартное отклонение для гауссова распределения;Անորոշությունը արտահայտված որպես 95% ինտերվալի կես լայնություն = 1,96* ստանդարտ շեղում գաուսյան բաշխման համար;Неопределеност, изразена като полуширината на 95% интервал = 1,96 * стандартно отклонение за гаусово разпределение;Incertidumbre ampliada: la mitad de un intervalo del 95% = 1,96*desviación estándar para una distribución gaussiana;Nejistota vyjádřená jako poloviční šířka 95% intervalu = 1,96* standardní odchylka pro gaussovské rozdělení;Unsicherheit: Halbe Länge eines 95%-Intervalls = 1.96*Standardabweichung für eine Gaußsche Verteilung.;Määramatus, väljendatud 95% intervalli poollaiusena = 1,96*standardhälve gaussi jaotuse puhul.;عدم قطعیت به عنوان نصف عرض بازه 95% برابر با 1.96 * انحراف استاندارد برای توزیع گاوسی;Epävarmuus ilmaistuna 95 %:n välien puolivälileveytenä = 1,96 * gaussin jakauman standardipoikkeama.;אי ודאות מבוטאת כחצי רוחב של מרווח של 95% = 1.96*סטיית תקן להתפלגות גאוסית;Incertezza estesa: metà intervallo a 95% (= 1.96*deviazione standard nel caso di distribuzione gaussiana);不確かさは、95%区間の半値幅=1.96*ガウス分布の標準偏差で表されます。;95% 구간의 반폭으로 표현되는 불확도 = 1.96*가우스 분포의 표준 편차;A bizonytalanság a 95%-os intervallum félszélességében kifejezve = 1,96*szabványos eltérés a gauss eloszlásra.;Onzekerheid uitgedrukt als de halve breedte van een 95%-interval = 1,96*standaardafwijking voor een gaussische verdeling;Niepewność wyrażona jako połowa szerokości 95% przedziału = 1.96*odchylenie standardowe dla rozkładu gaussowskiego;Incertitudine exprimată ca jumătate de lățime a unui interval de 95% = 1,96*deviația standard pentru o distribuție gaussiană.;Неизвесност изражена као полуширина интервала од 95% = 1,96*стандардна девијација за Гаусову расподелу;Neistota vyjadrená ako polovičná šírka 95 % intervalu = 1,96*štandardná odchýlka pre Gaussovo rozdelenie;Negotovost, izražena kot polovična širina 95-odstotnega intervala = 1,96*standardni odklon za Gaussovo porazdelitev;Osäkerhet uttryckt som halva bredden av ett 95 %-intervall = 1,96*standardavvikelsen för en gaussisk fördelning.;Невизначеність, виражена як половина ширини 95% інтервалу = 1,96 * середньоквадратичне відхилення для гауссового розподілу
